COVERED CALL WRITES: CASH

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUC:    Raw Return, if unchanged, cash
  ARIUC:   Annualized Return, if unchanged, cash
  RIEC:    Raw Return, if exercised, cash
  ARIEC:   Annualized Return, if exercised, cash
  DBEC:    Downside breakeven point, cash
  UBEC:    UPSIDE breakeven point, cash
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, cash
  AERTNC:  Annualized EXPECTED Return, cash
  Invt:    Investment for cash covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
BABA     69.46  Apr  55      15.80    2.2    8.6    2.2    8.6  53.76  70.65  0.23  0.02    91    89    46     1.4     5.3  53.76    36/    4
EXP     200.24  Nov  140     66.20    4.3    5.2    4.3    5.2 134.14 206.05  0.33  0.03    91    89    46     3.0     3.7 134.14    44/   20
CRSP     63.43  Jul  37.5    27.70    4.5    8.9    4.5    8.9  35.83  65.05  0.44  0.03    91    89    48     2.8     5.5  35.83    30/    9
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AMZN    153.16  Feb+ 141     13.65    1.0   20.6    1.0   20.6 139.61 154.50  0.09  0.01    91    88    45     0.6    13.3 139.61    59/   28
SYK     314.29  Jan'26 210  120.50    8.3    4.1    8.3    4.1 193.89 330.35  0.38  0.05    91    87    45     6.3     3.2 193.89    59/   39
AXON    249.47  Jan'25 180   85.20    9.5    9.4    9.5    9.4 164.37 265.05  0.34  0.06    91    85    42     7.5     7.5 164.37    54/   20
PLAY     49.24  Jul  34      16.90    4.7    9.2    4.7    9.2  32.44  50.75  0.34  0.03    91    89    46     3.3     6.6  32.44    69/   21
GLD     187.91  Feb+ 178     11.05    0.6    5.4    0.6    5.4 176.96 188.90  0.06  0.01    91    89    45     0.4     3.5 176.96    25/   22
TPX      49.42  Jan'25 30    21.20    5.8    5.7    5.8    5.7  28.32  51.05  0.43  0.03    91    88    47     4.0     3.9  28.32    43/   29
SAIA    437.99  Dec  250    201.00    5.4    5.8    5.4    5.8 237.09 450.85  0.46  0.03    91    89    47     3.6     3.9 237.09    43/   37
EWJ      65.94  Jun  58       9.60    2.7    6.2    2.7    6.2  56.44  67.45  0.14  0.02    91    87    42     2.0     4.7  56.44    78/   49
TQQQ     50.31  Jun  34      17.65    3.6    8.4    3.6    8.4  32.76  51.50  0.35  0.02    91    89    47     2.2     5.2  32.76    57/    5
SVIX     37.84  Apr  26      12.60    2.4    9.3    2.4    9.3  25.34  38.45  0.33  0.02    91    90    48     1.3     5.1  25.34    63/   16
ROP     537.27  Aug  450     99.00    2.6    4.5    2.6    4.5 438.37 548.85  0.18  0.02    91    88    44     1.9     3.2 438.37    58/   21
TDOC     20.19  Jul  12.5     8.45    5.2   10.2    5.2   10.2  11.84  20.80  0.41  0.03    91    89    47     3.5     6.8  11.84    50/   21
GS      380.45  Feb  350     32.60    0.6    6.8    0.6    6.8 347.95 382.45  0.09  0.01    91    89    47     0.3     3.4 347.95    20/   24
EXR     150.45  Mar  130     22.50    1.5    9.2    1.5    9.2 128.05 152.35  0.15  0.01    91    89    46     1.0     6.0 128.05    41/   57
FANG    151.16  Feb+ 135     17.40    0.8    7.8    0.8    7.8 133.86 152.25  0.11  0.01    91    89    47     0.4     3.9 133.86    36/   11
TWLO     72.01  Feb+ 60      13.10    1.6   15.3    1.6   15.3  59.01  72.95  0.18  0.01    91    90    46     1.0     9.6  59.01    47/   19
TDOC     20.19  Feb+ 16       4.50    1.0    9.7    1.0    9.7  15.79  20.35  0.22  0.01    91    90    48     0.3     3.3  15.79    29/   21
AN      137.80  Jan'25 85    58.60    7.1    7.1    7.1    7.1  79.30 143.45  0.42  0.04    91    88    46     5.1     5.1  79.30    56/   40
ULTA    476.01  Jun  395     96.20    4.0    9.2    4.0    9.2 379.91 491.05  0.20  0.03    91    87    43     3.0     7.0 379.91    60/    1
AMAT    153.76  May  120     36.10    1.9    5.6    1.9    5.6 117.76 155.95  0.23  0.01    91    89    47     1.1     3.2 117.76    38/   13
GLD     187.91  Mar  176     13.65    0.9    5.6    0.9    5.6 174.36 189.50  0.07  0.01    91    88    44     0.6     4.0 174.36    30/   22
RTX      85.50  Jan+ 82       4.15    0.6   22.4    0.6   22.4  81.45  86.00  0.05  0.01    91    87    44     0.4    14.9  81.45    60/   66
RACE    346.74  Aug  280     76.90    3.7    6.4    3.7    6.4 269.94 356.75  0.22  0.03    91    88    44     2.8     4.7 269.94    53/    7
EXPE    148.65  Apr  115     36.15    2.1    8.1    2.1    8.1 112.60 151.00  0.24  0.02    91    89    47     1.3     4.9 112.60    50/   26
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
CRM     269.19  Apr  230     44.85    2.5    9.5    2.5    9.5 224.44 274.70  0.17  0.02    91    88    44     1.8     7.1 224.44    50/    9
AMR     358.71  Jan'25 190  183.50    8.4    8.3    8.4    8.3 175.31 373.35  0.51  0.04    91    89    47     6.2     6.1 175.31    33/   24
UNH     519.15  Sep  440     96.90    4.2    6.1    4.2    6.1 422.35 536.75  0.19  0.03    91    86    41     3.2     4.7 422.35    41/    5
ALG     203.64  Jun  165     42.30    2.2    5.1    2.2    5.1 161.44 207.15  0.21  0.02    91    88    46     1.4     3.2 161.44    32/   26
FSLR    149.10  Jan'25 85    70.55    8.0    8.0    8.0    8.0  78.65 155.40  0.47  0.04    91    88    47     5.8     5.8  78.65    36/   30
TTD      63.76  Jun  42.5    23.35    4.8   11.1    4.8   11.1  40.51  65.70  0.36  0.03    91    88    46     3.3     7.6  40.51    52/   26
STLD    111.60  Jan'25 75    40.80    5.7    5.7    5.7    5.7  70.90 115.65  0.36  0.04    91    88    46     4.1     4.1  70.90    42/    6
RTX      85.50  Aug  70      17.45    2.6    4.5    2.6    4.5  68.15  87.30  0.20  0.02    91    88    45     1.8     3.1  68.15    33/   66
AMR     358.71  Jan'25 195  179.50    8.7    8.7    8.7    8.7 179.31 374.35  0.50  0.04    91    88    47     6.3     6.3 179.31    30/   24
RSP     155.06  Mar  144     12.80    1.1    6.9    1.1    6.9 142.36 156.65  0.08  0.01    91    87    44     0.8     4.8 142.36    97/   19
TTWO    161.88  Feb+ 146     17.30    0.9   13.3    0.9   13.3 144.68 163.15  0.11  0.01    91    90    46     0.5     8.2 144.68    58/   18
SOXX    565.29  Jul  445    131.90    2.6    5.2    2.6    5.2 433.49 576.75  0.23  0.02    91    89    46     1.8     3.5 433.49    44/   20
SOXX    565.29  Jun  450    124.60    2.1    4.8    2.1    4.8 440.79 574.45  0.22  0.02    91    90    46     1.3     3.1 440.79    47/   20
SOXX    565.29  Sep  430    151.60    3.9    5.7    3.9    5.7 413.79 581.45  0.27  0.03    91    88    45     2.9     4.2 413.79    52/   20
SMH     175.70  Apr  151     28.45    2.4    9.5    2.4    9.5 147.35 179.30  0.16  0.02    91    87    44     1.7     6.7 147.35    50/   13
SOXX    565.29  Sep  435    147.10    4.0    5.9    4.0    5.9 418.29 581.95  0.26  0.03    91    87    45     2.8     4.2 418.29    50/   20
SOXX    565.29  Jun  455    122.30    2.7    6.2    2.7    6.2 443.09 577.15  0.22  0.02    91    88    45     1.8     4.3 443.09    50/   20
GOOGL   142.49  Apr  120     24.80    1.8    7.1    1.8    7.1 117.79 144.65  0.17  0.02    91    88    46     1.1     4.4 117.79    52/   25
EEM      38.25  Apr  34       4.90    1.5    5.8    1.5    5.8  33.45  38.75  0.13  0.01    91    88    45     1.0     3.8  33.45    71/    1
TGT     141.07  Apr  120     23.30    1.8    6.9    1.8    6.9 117.87 143.15  0.16  0.01    91    89    46     1.2     4.6 117.87    36/   11
TGT     141.07  Jun  115     29.05    2.5    5.9    2.5    5.9 112.12 143.90  0.21  0.02    91    88    45     1.7     4.0 112.12    36/   11
AMD     158.74  Mar  125     36.00    1.7   10.6    1.7   10.6 122.84 160.85  0.23  0.01    91    90    47     1.0     6.0 122.84    40/   14
EFA      73.81  Apr  68       7.25    1.9    7.5    1.9    7.5  66.66  75.10  0.10  0.02    91    85    41     1.4     5.6  66.66    75/   32
SMH     175.70  Mar  155     23.35    1.6   10.1    1.6   10.1 152.45 178.20  0.13  0.01    91    88    45     1.1     6.9 152.45    44/   13
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
FDS     462.23  Nov  370    106.00    3.8    4.6    3.8    4.6 356.33 475.85  0.23  0.03    91    88    44     2.9     3.4 356.33    49/    6
AMD     158.74  Feb+ 136     24.05    0.9   13.1    0.9   13.1 134.79 159.90  0.15  0.01    91    90    48     0.4     6.0 134.79    48/   14
PRGO     33.00  Aug  22.5    11.30    3.0    5.1    3.0    5.1  21.80  33.65  0.34  0.02    91    90    47     1.8     3.1  21.80    48/   94
PSTG     36.12  Jan'25 23    15.00    8.2    8.1    8.2    8.1  21.22  37.85  0.41  0.05    91    87    45     6.0     6.0  21.22    72/   11
CYBR    228.22  Jun  160     72.50    2.7    6.2    2.7    6.2 155.82 232.35  0.32  0.02    91    89    48     1.4     3.3 155.82    39/   35
PSTG     36.12  May  27       9.90    2.4    7.2    2.4    7.2  26.32  36.75  0.27  0.02    91    89    47     1.4     4.3  26.32    42/   11
AMD     158.74  Feb+ 131     29.30    1.1   10.5    1.1   10.5 129.54 160.15  0.18  0.01    91    90    48     0.5     4.7 129.54    37/   14
GOOGL   142.49  Jun  115     31.20    3.2    7.4    3.2    7.4 111.39 146.05  0.22  0.02    91    87    45     2.2     5.2 111.39    61/   25
EFA      73.81  Feb  70       4.35    0.6    6.6    0.6    6.6  69.56  74.20  0.06  0.01    91    88    45     0.3     4.1  69.56    55/   32
PSTG     36.12  Aug  25      12.40    4.7    8.1    4.7    8.1  23.82  37.25  0.34  0.03    91    88    46     3.4     5.8  23.82    70/   11
QQQM    168.57  Mar  150     20.20    1.0    6.2    1.0    6.2 148.47 170.05  0.12  0.01    91    90    46     0.6     3.8 148.47    42/   27
GDDY    104.90  Feb+ 94      11.90    0.9    8.8    0.9    8.8  93.10 105.75  0.11  0.01    91    89    46     0.5     5.1  93.10    40/   17
GOOGL   142.49  Feb+ 132     11.50    0.7   14.1    0.7   14.1 131.09 143.35  0.08  0.01    91    89    46     0.4     8.3 131.09    69/   25
CTAS    588.57  Jun  520     81.10    2.4    5.7    2.4    5.7 507.57 600.95  0.14  0.02    91    87    43     1.8     4.2 507.57    52/    0
CTAS    588.57  Aug  510     95.00    3.3    5.7    3.3    5.7 493.67 604.85  0.16  0.03    91    87    42     2.5     4.4 493.67    56/    0
POWL     81.05  Feb  65      17.10    1.4   16.5    1.4   16.5  64.05  81.95  0.21  0.01    91    90    47     0.7     8.5  64.05    55/   68
AX       51.86  Oct  30      23.70    6.0    7.9    6.0    7.9  28.26  53.55  0.46  0.03    91    89    47     4.2     5.5  28.26    62/   65
ARGX    378.13  Dec  240    153.00    6.5    7.0    6.5    7.0 225.23 392.85  0.40  0.04    91    88    46     4.9     5.2 225.23    23/   22
FCNCA  1379.69  Feb  1220   175.50    1.3   15.3    1.3   15.31204.291395.35  0.13  0.01    91    88    46     0.8     9.61204.29    44/   80
UAL      38.93  Jun  27      13.00    3.5    8.2    3.5    8.2  26.03  39.85  0.33  0.02    91    89    47     2.2     5.2  26.03    61/   54
QQQM    168.57  Jun  141     31.30    2.6    6.1    2.6    6.1 137.37 172.15  0.19  0.02    91    88    44     1.9     4.4 137.37    53/   27
PVH     118.98  Dec  82.5    43.30    8.8    9.5    8.8    9.5  75.78 125.65  0.36  0.06    91    86    44     6.8     7.3  75.78    49/    5
APO      95.46  Jun  75      22.30    2.3    5.4    2.3    5.4  73.26  97.15  0.23  0.02    91    89    46     1.4     3.4  73.26    50/   21
GOOGL   142.49  Feb+ 130     13.65    0.8   11.9    0.8   11.9 128.94 143.50  0.10  0.01    91    89    46     0.5     7.2 128.94    61/   25
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
EME     220.28  Nov  160     67.00    4.3    5.1    4.3    5.1 153.38 226.85  0.30  0.03    91    88    46     2.9     3.5 153.38    43/   31
ESTC    116.58  Jan'26 55    67.50   11.7    5.9   11.7    5.9  49.18 122.35  0.58  0.05    91    88    47     8.8     4.4  49.18    50/   11
GOOG    144.08  Feb+ 129     16.60    1.1   10.3    1.1   10.3 127.58 145.45  0.11  0.01    91    89    46     0.7     6.4 127.58    50/   28
PRFT     66.49  Jul  50      18.80    4.5    8.9    4.5    8.9  47.79  68.65  0.28  0.03    91    88    45     3.3     6.5  47.79    42/    7
TGLS     41.90  May  30      12.70    2.2    6.6    2.2    6.6  29.30  42.55  0.30  0.02    91    90    48     1.2     3.5  29.30    37/    8
AMGN    303.48  Feb  280     25.75    0.8    9.0    0.8    9.0 277.83 305.60  0.08  0.01    91    89    46     0.5     5.6 277.83    44/   50
AVGO   1114.96  Feb  1000   124.00    0.9   10.6    0.9   10.6 991.061123.85  0.11  0.01    91    89    46     0.5     6.1 991.06    36/   22
GDDY    104.90  Feb  95      11.00    1.0   11.9    1.0   11.9  94.00 105.85  0.10  0.01    91    89    46     0.7     7.8  94.00    57/   17
CTAS    588.57  Dec  500    115.70    5.7    6.1    5.7    6.1 472.97 615.55  0.20  0.05    91    84    39     4.5     4.9 472.97    62/    0
CSIQ     21.66  Jul  13       9.30    3.9    7.8    3.9    7.8  12.46  22.15  0.42  0.02    91    90    48     2.4     4.8  12.46    80/   30
SOXX    565.29  Mar  495     78.20    1.6    9.9    1.6    9.9 487.19 573.05  0.14  0.01    91    88    45     1.1     6.6 487.19    51/   20
PPG     143.76  Aug  115     32.20    2.9    5.0    2.9    5.0 111.66 147.05  0.22  0.02    91    88    45     2.0     3.5 111.66    34/   24
PRGO     33.00  May  25       8.80    2.7    8.0    2.7    8.0  24.30  33.65  0.26  0.02    91    89    47     1.6     4.9  24.30    29/   94
SNPS    509.68  Jan'25 370  163.30    6.8    6.7    6.8    6.7 346.48 533.15  0.32  0.05    91    86    44     5.1     5.1 346.48    55/   20
RH      258.02  Jun  180     86.90    5.1   11.9    5.1   11.9 171.22 266.75  0.34  0.03    91    88    46     3.6     8.3 171.22    33/   25
SNPS    509.68  Mar  440     75.60    1.3    8.2    1.3    8.2 434.18 515.45  0.15  0.01    91    89    46     0.8     5.1 434.18    40/   20
EQT      36.30  Apr  29       7.95    1.8    6.8    1.8    6.8  28.45  36.80  0.22  0.01    91    89    47     0.9     3.6  28.45    23/   10
FICO   1224.39  Jul  930    332.10    4.2    8.3    4.2    8.3 892.391261.95  0.27  0.03    91    88    45     3.1     6.0 892.39    50/   33
SNPS    509.68  Dec  370    161.60    6.3    6.7    6.3    6.7 348.18 531.45  0.32  0.04    91    87    44     4.8     5.1 348.18    56/   20
FI      137.00  Feb+ 126     12.10    0.8    7.3    0.8    7.3 125.00 137.95  0.09  0.01    91    89    46     0.5     4.3 125.00    38/   11
FI      137.00  Mar+ 125     13.20    0.8    6.9    0.8    6.9 123.90 138.05  0.10  0.01    91    89    46     0.5     4.2 123.90    37/   11
FICO   1224.39  Apr  1000   243.00    1.9    7.3    1.9    7.3 981.491242.85  0.20  0.02    91    89    46     1.1     4.4 981.49    36/   33
FI      137.00  Feb+ 128      9.80    0.5    7.8    0.5    7.8 127.30 137.65  0.07  0.00    91    89    47     0.3     4.2 127.30    44/   11
GE      127.97  Sep  90      41.75    4.2    6.2    4.2    6.2  86.32 131.60  0.33  0.03    91    88    46     2.9     4.2  86.32    75/   36
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
AYI     224.24  Dec  155     76.00    4.5    4.8    4.5    4.8 148.34 230.85  0.34  0.03    91    89    46     3.2     3.4 148.34    31/    0
GDXJ     34.66  Jun  26       9.45    2.5    5.9    2.5    5.9  25.31  35.30  0.27  0.02    91    89    47     1.5     3.4  25.31    65/   19
SNOW    188.02  Feb+ 160     29.65    0.9    9.0    0.9    9.0 158.47 189.50  0.16  0.01    91    90    48     0.4     4.0 158.47    23/    6
TSLA    219.91  Feb+ 175     47.15    1.2   11.6    1.2   11.6 172.86 222.00  0.21  0.01    91    90    48     0.5     4.8 172.86    35/   30
SNOW    188.02  Mar  155     36.95    2.5   15.5    2.5   15.5 151.17 191.80  0.20  0.02    91    89    45     1.8    11.0 151.17    41/    6
TJX      95.87  Jan'25 80    20.65    6.1    6.1    6.1    6.1  75.32 100.50  0.21  0.05    91    84    40     4.8     4.8  75.32    69/    3
GDX      28.39  Jun  22       7.10    2.6    6.1    2.6    6.1  21.39  28.95  0.25  0.02    91    88    46     1.6     3.7  21.39    90/   30
SNOW    188.02  Feb+ 165     24.35    0.7   11.0    0.7   11.0 163.77 189.20  0.13  0.01    91    90    48     0.3     5.0 163.77    27/    6
ALGN    267.46  Feb  220     50.50    1.3   15.7    1.3   15.7 217.06 270.35  0.19  0.01    91    90    47     0.7     8.5 217.06    52/   65
GLOB    230.67  Aug  155     81.80    4.0    6.9    4.0    6.9 148.97 236.65  0.35  0.03    91    89    47     2.6     4.4 148.97    41/   18
SNPS    509.68  Jan'26 330  218.00   13.1    6.5   13.1    6.5 291.78 547.85  0.43  0.07    91    85    43    10.5     5.2 291.78    62/   20
SNOW    188.02  May  145     49.00    4.2   12.5    4.2   12.5 139.12 193.85  0.26  0.03    91    87    45     3.0     8.9 139.12    41/    6
SNOW    188.02  Jun  140     54.90    5.1   11.7    5.1   11.7 133.22 194.75  0.29  0.04    91    87    45     3.7     8.6 133.22    45/    6
ALGN    267.46  Feb+ 215     55.60    1.4   13.5    1.4   13.5 211.96 270.45  0.21  0.01    91    90    47     0.8     7.3 211.96    43/   65
RGEN    172.76  Aug  110     66.30    3.2    5.5    3.2    5.5 106.56 176.15  0.38  0.02    91    90    48     1.9     3.2 106.56    39/   26
GE      127.97  Jan+ 119      9.70    0.5   17.9    0.5   17.9 118.37 128.55  0.08  0.00    91    89    47     0.2     8.3 118.37    72/   36
CYBR    228.22  Jul  155     78.00    3.1    6.1    3.1    6.1 150.32 232.85  0.34  0.02    91    89    47     1.8     3.5 150.32    41/   35
SOXL     29.19  Feb  22       7.65    1.4   16.9    1.4   16.9  21.64  29.50  0.26  0.01    91    90    48     0.6     7.4  21.64    30/   12
FERG    186.21  Aug  150     41.10    3.3    5.6    3.3    5.6 145.21 190.95  0.22  0.03    91    87    45     2.3     3.9 145.21    37/   15
GE      127.97  Feb+ 116     12.70    0.5   10.8    0.5   10.8 115.37 128.55  0.10  0.00    91    90    48     0.2     4.2 115.37    61/   36
FDX     245.04  Feb  230     16.95    0.8    9.1    0.8    9.1 228.19 246.80  0.07  0.01    91    88    45     0.5     6.0 228.19    14/    0
CRL     206.43  Aug  155     58.20    4.5    7.6    4.5    7.6 148.33 213.05  0.28  0.03    91    87    45     3.2     5.4 148.33    37/   35
SMH     175.70  Mar+ 157     20.75    1.2    9.9    1.2    9.9 155.05 177.60  0.12  0.01    91    89    45     0.8     6.5 155.05    50/   13
AMGN    303.48  Jul  250     59.15    2.3    4.5    2.3    4.5 244.43 309.00  0.19  0.02    91    89    46     1.5     3.0 244.43    30/   50
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
SMH     175.70  Mar+ 157.5   20.25    1.2    9.9    1.2    9.9 155.55 177.60  0.11  0.01    91    88    45     0.8     6.2 155.55    39/   13
APPF    175.19  Dec  105     76.00    5.7    6.1    5.7    6.1  99.29 180.85  0.43  0.03    91    89    47     3.9     4.2  99.29    40/   36
SOXL     29.19  Feb+ 21.5     8.20    1.7   16.4    1.7   16.4  21.09  29.55  0.28  0.01    91    90    48     0.8     7.3  21.09    52/   12
UBER     63.65  Feb  55       9.40    1.1   13.0    1.1   13.0  54.35  64.25  0.15  0.01    91    89    47     0.6     7.3  54.35    50/   24
SMH     175.70  Feb  160     17.30    0.9   10.8    0.9   10.8 158.50 177.15  0.10  0.01    91    89    46     0.6     6.7 158.50    38/   13
CRL     206.43  May  165     45.80    2.6    7.9    2.6    7.9 160.73 210.65  0.22  0.02    91    88    46     1.7     5.1 160.73    37/   35
FICO   1224.39  Mar  1040   196.00    1.1    6.9    1.1    6.91028.491235.85  0.16  0.01    91    89    47     0.5     3.31028.49    32/   33
ARCB    116.13  Jan'26 55    65.70    8.7    4.4    8.7    4.4  50.53 120.55  0.56  0.04    91    89    48     6.2     3.1  50.53    41/   15
UBER     63.65  Feb+ 54      10.40    1.1   10.8    1.1   10.8  53.35  64.25  0.16  0.01    91    90    47     0.6     5.9  53.35    41/   24
EQIX    819.12  Dec  630    215.20    4.3    4.6    4.3    4.6 604.02 845.05  0.26  0.03    91    87    45     3.1     3.3 604.02    46/   19
SOXL     29.19  May  17      12.90    3.4   10.2    3.4   10.2  16.39  29.75  0.44  0.02    91    89    48     1.8     5.2  16.39    32/   12
CYBR    228.22  Sep  145     89.90    4.7    6.9    4.7    6.9 138.42 234.75  0.39  0.03    91    89    47     3.2     4.8 138.42    46/   35
EQIX    819.12  Jun  680    153.20    2.1    4.9    2.1    4.9 666.02 833.05  0.19  0.02    91    88    46     1.3     3.1 666.02    40/   19
SMH     175.70  Feb+ 158     19.45    1.0    9.8    1.0    9.8 156.35 177.30  0.11  0.01    91    89    46     0.7     6.3 156.35    44/   13
RJF     109.31  May  90      21.20    2.0    5.9    2.0    5.9  88.21 111.05  0.19  0.02    91    88    46     1.2     3.6  88.21    63/   12
UAL      38.93  Jul  26      14.15    4.3    8.5    4.3    8.5  24.88  40.00  0.36  0.03    91    89    47     2.9     5.8  24.88    60/   54
PYPL     58.45  Feb+ 49      10.25    1.3   12.9    1.3   12.9  48.30  59.10  0.17  0.01    91    90    47     0.8     7.4  48.30    43/   40
SPY     474.93  Jan+ 464     12.44    0.3   10.7    0.3   10.7 462.59 476.29  0.03  0.00    91    88    44     0.2     7.2 462.59    51/    3
SPY     474.93  Jan+ 465     10.99    0.2    8.9    0.2    8.9 464.04 475.84  0.02  0.00    91    89    46     0.1     5.2 464.04    38/    3
U        34.10  May  22      13.00    3.5   10.6    3.5   10.6  21.20  34.85  0.38  0.02    91    90    48     2.2     6.6  21.20    39/   24
SHOP     81.32  Feb+ 67      15.65    1.8   17.2    1.8   17.2  65.77  82.50  0.19  0.01    91    89    46     1.1    10.3  65.77    48/   23
CVX     143.69  Feb+ 131     13.75    0.7    6.7    0.7    6.7 130.04 144.60  0.09  0.01    91    89    47     0.4     3.4 130.04    30/   25
ROKU     84.79  May  55      32.10    4.1   12.2    4.1   12.2  52.79  86.95  0.38  0.03    91    89    47     2.6     7.8  52.79    51/   25
SHOP     81.32  Jun  55      28.65    4.1    9.6    4.1    9.6  52.77  83.50  0.35  0.03    91    88    47     2.7     6.3  52.77    46/   23
Symb     Stk    Opt  StrkMn   Call   RIUC  ARIUC   RIEC  ARIEC   DBEC   UBEC  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNC   Invt    IVF  iv%
SQ       65.16  Jun  45      22.45    5.0   11.6    5.0   11.6  42.81  67.30  0.34  0.03    91    88    46     3.6     8.4  42.81    40/   23
EG      369.23  Apr  310     64.40    1.6    6.4    1.6    6.4 304.93 374.25  0.17  0.01    91    89    46     1.0     3.9 304.93    39/   37
PYPL     58.45  Feb  50       9.25    1.3   15.5    1.3   15.5  49.30  59.10  0.16  0.01    91    89    47     0.8     9.0  49.30    47/   40
PYPL     58.45  Feb+ 51       8.25    1.3   19.7    1.3   19.7  50.30  59.10  0.14  0.01    91    89    46     0.8    12.1  50.30    53/   40
FND     103.78  Jan'26 50    58.80   10.8    5.4   10.8    5.4  45.08 108.65  0.57  0.05    91    88    47     8.2     4.1  45.08    52/   33
PLTR     16.53  Jun  10       7.00    3.3    7.7    3.3    7.7   9.63  16.85  0.42  0.02    91    89    48     1.7     3.8   9.63    29/   42
SHW     300.08  Jan'26 200  118.00    9.8    4.9    9.8    4.9 182.18 317.85  0.39  0.06    91    86    44     7.7     3.8 182.18    59/   39
BA      200.52  May  155     49.70    2.7    8.0    2.7    8.0 150.92 204.55  0.25  0.02    91    89    46     1.8     5.4 150.92    61/   29
SIG      95.65  Jan'25 60    40.20    7.9    7.9    7.9    7.9  55.55 100.05  0.42  0.05    91    87    46     5.9     5.8  55.55    29/   11
FLT     283.99  Aug  220     70.10    2.8    4.8    2.8    4.8 213.99 289.95  0.25  0.02    91    88    46     1.8     3.1 213.99    54/    9
GPI     272.83  Jul  195     84.20    3.3    6.5    3.3    6.5 188.73 279.05  0.31  0.02    91    89    47     2.1     4.1 188.73    32/    3
GLD     187.91  Feb  179      9.90    0.5    5.6    0.5    5.6 178.11 188.75  0.05  0.00    91    89    46     0.3     3.4 178.11    21/   22
TSM     101.67  May  80      23.55    2.2    6.6    2.2    6.6  78.22 103.40  0.23  0.02    91    89    47     1.4     4.0  78.22    23/   50
PLNT     74.32  May  57.5    18.10    2.0    6.0    2.0    6.0  56.32  75.45  0.24  0.02    91    89    47     1.1     3.3  56.32    72/    1
QSR      75.83  Feb  70       6.40    0.6    7.1    0.6    7.1  69.53  76.25  0.08  0.01    91    89    47     0.3     3.6  69.53    37/   35
GLD     187.91  Feb+ 180      8.70    0.4    5.4    0.4    5.4 179.31 188.55  0.05  0.00    91    89    46     0.2     3.1 179.31    18/   22
BA      200.52  Apr  160     43.80    2.0    7.8    2.0    7.8 156.82 203.65  0.22  0.02    91    89    47     1.2     4.8 156.82    59/   29
TEAM    240.56  Mar  190     53.70    1.6    9.9    1.6    9.9 186.96 243.55  0.22  0.01    91    90    47     0.8     5.2 186.96    29/   23
CRWD    286.29  Feb  250     38.95    1.0   11.9    1.0   11.9 247.44 288.80  0.14  0.01    91    90    47     0.6     6.9 247.44    36/    4
RBLX     39.35  Jun  25      15.55    4.4   10.2    4.4   10.2  23.90  40.40  0.39  0.03    91    89    47     2.9     6.8  23.90    50/   23
RBLX     39.35  Feb+ 33       7.10    1.9   28.2    1.9   28.2  32.35  39.95  0.18  0.02    91    89    46     1.2    18.6  32.35    66/   23
