COVERED CALL WRITES: MARGIN

NOTE: It is possible to have zero or negative investment
      in a margin covered write.  Where that happens, the
      returns are arbitrarily set to 999%
      ALSO, it should be noted that stocks selling for
      less than $5 per share may not be marginable.

Column Headings:
  Symb:    underlying symbol
  Stk:     closing price of underlying
  Opt:     option base symbol
  StrkMn   strike (numeric) and Month (alpha) of written option
  Call:    bid price of call being sold
  RIUM:    Raw Return, if unchanged, margin
  ARIUM:   Annualized Return, if unchanged, margin
  RIEM:    Raw Return, if exercised, margin
  ARIEM:   Annualized Return, if exercised, margin
  DBEM:    Downside breakeven point, margin
  UBEM:    UPSIDE breakeven point, margin
            i.e., the point above which stock outperforms covered write
  %DBE:    Percent distance from Stk price down to DBEC
  %UBE:    Percent distance from Stk price UP to UBEC
  PrDBE:   Prob. of CLOSING above DBE at expiration
  PrRIE:   Prob. of CLOSING above Striking Price at expiration
            i.e., Prob. of stock being called away
  PrUBE:   Prob. of CLOSING above UBE at expiration
  ERTN:    Raw EXPECTED Return, margin
  AERTNM:  Annualized EXPECTED Return, margin
  Invt:    Investment for margin covered write
  IVF:     Implied Volatility Factor
           = 100*(IV this option/avg IV for this stock - 1)
           => large positive numbers are most expensive options
  Mgnint:  Margin interest paid (rate = T-Bill rate + 3%)
  Debit:   Debit balance (amount borrowed from broker)
NOTE: all returns and investment assume 5 cent commission on stock & option

  While we endeavor to make our data reliable, errors are always possible.
  Therefore, make sure you check the actual price of the option with a price
    quotation system or with your broker before actually entering an order.
  If the returns from the covered write look "too good," be suspicous.
  It is likely, in that case, that some data is in error.
  McMillan Analysis Corp. is not responsible for errors in this data,
    nor is it liable for losses incurred due to errors in this report.
  Accuracy and completeness are not guaranteed.

Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
NICE    205.71  Aug  130     80.40    5.0    8.6    5.0    8.6 123.89 208.73  0.40  0.01    95    93    48     3.4     5.9  60.39    58   1.52  65.03
TSM     101.67  Feb+ 86      16.35    0.8    7.9    0.8    7.9  85.24 102.02  0.16  0.00    95    94    49     0.3     3.2  42.39    30   0.18  43.03
AMD     158.74  Feb+ 135     24.35    0.5   10.7    0.5   10.7 134.36 159.07  0.15  0.00    95    95    49     0.1     2.5  66.97    53   0.13  67.53
WYNN     94.56  Jun  65      30.85    1.9    4.3    1.9    4.3  63.25  95.14  0.33  0.01    95    94    49     0.9     2.1  31.28    64   0.56  32.53
HLT     182.39  Jul  140     45.20    1.8    3.6    1.8    3.6 135.87 183.63  0.26  0.01    95    93    48     1.0     2.0  67.26    60   1.42  70.03
QQQM    168.57  Mar  147     23.10    1.3    7.8    1.3    7.8 145.09 169.47  0.14  0.01    95    93    48     0.8     4.8  72.05    54   0.48  73.53
NICE    205.71  Dec  115     96.00    5.7    6.2    5.7    6.2 107.67 208.71  0.48  0.01    95    93    49     3.8     4.1  52.29    60   2.14  57.53
HLT     182.39  Jun  145     41.00    3.2    7.5    3.2    7.5 140.24 184.60  0.23  0.01    95    92    47     2.3     5.3  68.96    54   1.25  72.53
QQQM    168.57  Mar  146     24.00    1.1    7.0    1.1    7.0 144.20 169.38  0.14  0.00    95    94    48     0.7     4.5  71.65    56   0.47  73.03
LULU    470.73  Apr  390     88.85    3.2   12.4    3.2   12.4 379.97 476.69  0.19  0.01    95    93    46     2.5     9.6 186.96    46   2.01 195.02
ANF      98.89  Aug  55      46.20    6.0   10.3    6.0   10.3  52.15 100.41  0.47  0.02    95    93    48     4.2     7.2  25.26    44   0.64  27.52
GLD     187.91  Mar+ 175     14.15    0.8    6.2    0.8    6.2 173.43 188.57  0.08  0.00    95    93    47     0.5     4.2  86.33    39   0.43  87.53
WST     346.50  Dec  200    155.60    5.8    6.2    5.8    6.2 187.28 351.73  0.46  0.02    95    93    48     4.1     4.4  90.97    65   3.72 100.03
PINS     36.77  Oct  18      19.60    4.9    6.5    4.9    6.5  17.00  37.18  0.54  0.01    95    94    49     2.9     3.9   8.25    91   0.27   9.02
TT      245.52  Dec  170     82.30    4.4    4.8    4.4    4.8 160.16 248.99  0.35  0.01    95    92    48     3.0     3.2  78.29    62   3.16  85.03
CAR     159.33  Aug  90      72.40    4.4    7.6    4.4    7.6  85.98 161.20  0.46  0.01    95    94    49     2.8     4.9  42.00    51   1.05  45.03
PINS     36.77  Jun  21      16.35    2.5    5.8    2.5    5.8  20.34  37.02  0.45  0.01    95    94    49     1.2     2.7  10.00    66   0.18  10.52
SNPS    509.68  Jun  380    137.10    2.2    5.1    2.2    5.1 369.41 513.68  0.28  0.01    95    94    48     1.3     3.1 182.66    59   3.27 190.02
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
CCJ      48.96  Jun  30      19.70    2.3    5.4    2.3    5.4  29.10  49.29  0.41  0.01    95    94    49     1.2     2.7  14.33    46   0.26  15.02
DDOG    123.79  Jun  80      46.70    5.6   13.0    5.6   13.0  76.50 125.86  0.38  0.02    95    93    48     4.2     9.7  37.16    61   0.69  40.03
WST     346.50  Jun  240    112.00    2.9    6.7    2.9    6.7 232.53 349.78  0.33  0.01    95    93    48     1.7     3.9 114.57    58   2.07 120.03
SNPS    509.68  Dec  340    187.00    7.1    7.7    7.1    7.7 316.46 520.53  0.38  0.02    95    92    47     5.5     5.9 152.76    69   6.32 170.02
SNPS    509.68  Jan'25 340  188.00    7.5    7.4    7.5    7.4 314.94 521.01  0.38  0.02    95    92    47     5.5     5.5 151.76    65   6.84 170.02
HCA     280.82  Jan'25 180  109.30    5.8    5.7    5.8    5.7 168.00 285.53  0.40  0.02    95    92    48     3.9     3.9  81.60    68   3.62  90.03
PENN     23.28  Jan'25 10    13.85    4.8    4.8    4.8    4.8   9.33  23.50  0.60  0.01    95    93    49     2.4     2.4   4.51    59   0.20   5.03
ULTA    476.01  Sep  360    134.30    8.2   12.1    8.2   12.1 336.92 489.26  0.29  0.03    95    91    45     6.6     9.8 161.79    77   4.89 180.02
SOXX    565.29  Mar  475     95.50    1.5    9.4    1.5    9.4 468.35 568.81  0.17  0.01    95    94    48     1.1     6.5 232.36    62   1.54 237.52
NVDA    563.82  Feb+ 485     81.85    0.9   14.2    0.9   14.2 481.43 566.06  0.15  0.00    95    94    48     0.5     7.9 239.55    33   0.64 242.52
GPI     272.83  Jul  180     97.30    2.9    5.7    2.9    5.7 173.80 275.32  0.36  0.01    95    93    49     1.6     3.1  85.60    40   1.83  90.03
IDXX    520.00  Dec  320    217.10    7.7    8.3    7.7    8.3 297.05 531.00  0.43  0.02    95    93    48     5.8     6.3 142.98    83   5.95 160.02
EFX     246.45  Jul  175     75.30    2.3    4.5    2.3    4.5 169.48 248.38  0.31  0.01    95    94    49     1.3     2.6  83.72    53   1.77  87.53
Z        52.46  May  35      18.40    3.3   10.0    3.3   10.0  33.93  53.02  0.35  0.01    95    94    48     2.1     6.4  16.64    46   0.23  17.52
IDXX    520.00  Jul  360    169.30    3.2    6.4    3.2    6.4 347.15 525.50  0.33  0.01    95    93    48     2.0     3.9 170.78    72   3.65 180.02
ALNY    187.49  Jun  100     90.00    3.2    7.3    3.2    7.3  96.73 188.99  0.48  0.01    95    94    49     1.7     4.0  47.57    66   0.86  50.03
SOXX    565.29  Mar  480     90.80    1.6   10.0    1.6   10.0 473.04 569.10  0.16  0.01    95    93    48     1.0     6.5 234.56    56   1.55 240.02
PNC     149.02  Mar  125     25.30    1.2    7.3    1.2    7.3 123.42 149.75  0.17  0.00    95    94    48     0.7     4.1  61.30    52   0.40  62.53
SMH     175.70  Feb+ 154     23.10    1.2   11.8    1.2   11.8 152.38 176.63  0.13  0.01    95    94    48     0.9     8.2  75.67    56   0.32  77.03
OLED    178.66  Jan'25 100   82.60    3.9    3.8    3.9    3.8  94.15 180.44  0.47  0.01    95    94    49     2.2     2.2  46.14    54   2.01  50.03
IDXX    520.00  Jun  370    158.30    2.8    6.5    2.8    6.5 358.62 524.97  0.31  0.01    95    93    48     1.7     4.0 176.78    73   3.18 185.02
WING    271.70  Jan'26 125  158.50   13.1    6.5   13.1    6.5 108.29 278.34  0.60  0.02    95    92    48     9.6     4.8  50.78    65   5.01  62.53
ULTA    476.01  Jun  375    111.90    4.3    9.9    4.3    9.9 360.98 483.52  0.24  0.02    95    92    46     3.3     7.6 176.69    71   3.23 187.52
ULTA    476.01  Jun  380    109.40    5.6   13.1    5.6   13.1 363.44 485.98  0.24  0.02    95    91    45     4.5    10.4 176.69    71   3.27 190.02
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
WING    271.70  Jan'26 130  154.50   14.2    7.1   14.2    7.1 112.09 279.14  0.59  0.03    95    91    48    10.2     5.1  52.28    64   5.21  65.03
ULTA    476.01  Mar  410     72.50    2.5   15.6    2.5   15.6 402.28 481.02  0.15  0.01    95    93    46     2.0    12.2 198.59    62   1.33 205.02
NVDA    563.82  Jan+ 510     55.25    0.4   14.4    0.4   14.4 508.39 564.82  0.10  0.00    95    94    49     0.2     5.6 253.65    30   0.28 255.02
GEHC     74.97  Jan'25 50    27.70    7.0    7.0    7.0    7.0  46.36  76.54  0.38  0.02    95    92    47     5.1     5.1  22.35    90   1.01  25.02
MSFT    390.27  Jun  305     92.80    3.3    7.6    3.3    7.6 294.95 395.03  0.24  0.01    95    93    47     2.4     5.5 145.05    77   2.62 152.52
LYV      90.60  Jun  60      31.90    2.2    5.1    2.2    5.1  58.28  91.23  0.36  0.01    95    94    49     1.1     2.6  28.77    86   0.52  30.02
MSFT    390.27  May  315     82.10    3.0    9.1    3.0    9.1 306.16 394.84  0.22  0.01    95    92    47     2.2     6.5 150.74    78   2.11 157.52
PEN     263.06  Apr  185     80.70    1.7    6.6    1.7    6.6 181.51 264.60  0.31  0.01    95    94    49     0.8     3.1  89.93    43   0.95  92.53
GWW     840.55  Aug  620    235.50    2.6    4.4    2.6    4.4 597.91 848.11  0.29  0.01    95    93    48     1.6     2.7 295.13    60   7.24 310.02
CTAS    588.57  May  510     86.20    1.6    4.9    1.6    4.9 499.06 592.64  0.15  0.01    95    93    47     1.1     3.3 247.45    59   3.41 255.02
PM       94.51  Mar  85      10.40    1.1    6.9    1.1    6.9  83.94  94.98  0.11  0.00    95    93    47     0.7     4.4  41.69    76   0.27  42.53
GEHC     74.97  Apr  60      15.90    1.6    6.3    1.6    6.3  58.86  75.44  0.21  0.01    95    93    48     0.9     3.5  29.15    60   0.31  30.02
PM       94.51  Mar+ 86       9.20    0.8    6.3    0.8    6.3  85.20  94.84  0.10  0.00    95    93    48     0.4     3.6  42.39    72   0.21  43.03
CYBR    228.22  Jul  140     91.50    2.6    5.1    2.6    5.1 135.40 229.93  0.41  0.01    95    94    49     1.3     2.5  66.79    52   1.42  70.03
ALNY    187.49  May  110     80.50    4.1   12.2    4.1   12.2 106.35 189.61  0.43  0.01    95    94    49     2.6     7.8  52.07    71   0.74  55.03
MSFT    390.27  Apr  320     74.60    1.6    6.3    1.6    6.3 314.12 392.80  0.20  0.01    95    93    48     1.0     3.9 155.74    71   1.65 160.02
ROKU     84.79  Mar+ 60      25.60    1.7   14.2    1.7   14.2  59.14  85.30  0.30  0.01    95    95    49     1.0     7.8  29.27    52   0.15  30.02
TJX      95.87  Jul  80      18.15    3.5    6.9    3.5    6.9  77.01  97.19  0.20  0.01    95    92    46     2.7     5.3  37.80    85   0.81  40.03
AMAT    153.76  Jun  110     46.70    3.5    8.2    3.5    8.2 106.21 155.60  0.31  0.01    95    93    48     2.4     5.7  52.13    48   0.95  55.03
NTNX     50.38  Apr  37.5    13.60    2.1    8.1    2.1    8.1  36.69  50.76  0.27  0.01    95    93    48     1.1     4.4  18.11    78   0.19  18.77
ASML    706.50  Feb+ 620     89.30    0.6    9.1    0.6    9.1 616.48 708.33  0.13  0.00    95    94    49     0.2     3.6 307.27    42   0.82 310.02
AMAT    153.76  Mar  125     30.15    1.4    8.5    1.4    8.5 123.31 154.60  0.20  0.01    95    93    48     0.7     4.4  61.18    36   0.40  62.53
CYBR    228.22  Sep  130    103.00    4.7    7.0    4.7    7.0 123.55 231.08  0.46  0.01    95    94    49     3.2     4.7  60.29    58   1.77  65.03
MSFT    390.27  Feb+ 357.5   34.65    0.8   17.0    0.8   17.0 355.39 391.67  0.09  0.00    95    94    47     0.6    12.0 176.94    77   0.33 178.77
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
PEP     166.17  Jul  140     29.05    2.0    3.8    2.0    3.8 135.80 167.48  0.18  0.01    95    92    47     1.2     2.4  67.19    66   1.42  70.03
PEP     166.17  Mar  150     17.45    0.9    5.4    0.9    5.4 148.33 166.81  0.11  0.00    95    93    48     0.5     3.4  73.79    57   0.49  75.03
GTLB     62.73  Mar  45      18.50    2.2   13.5    2.2   13.5  44.18  63.20  0.30  0.01    95    94    49     1.3     8.1  21.81    48   0.15  22.52
SMH     175.70  Jan+ 164     12.15    0.3    9.4    0.3    9.4 163.56 175.91  0.07  0.00    95    94    49     0.1     2.9  81.62    46   0.09  82.03
COST    681.49  Jun  585    113.00    4.1    9.5    4.1    9.5 563.56 692.82  0.17  0.02    95    90    44     3.2     7.3 276.07    61   5.03 292.52
COST    681.49  May  585    105.20    1.6    4.9    1.6    4.9 572.48 686.14  0.16  0.01    95    93    47     1.1     3.3 283.86    61   3.91 292.52
UNH     519.15  Sep  420    114.00    4.6    6.8    4.6    6.8 399.54 528.14  0.23  0.02    95    91    46     3.6     5.2 195.23    45   5.71 210.02
UNH     519.15  Jun  440     90.40    3.5    8.1    3.5    8.1 425.06 526.46  0.18  0.01    95    91    45     2.6     6.1 208.83    43   3.79 220.02
PEN     263.06  Jul  165    103.60    4.8    9.5    4.8    9.5 157.89 266.78  0.40  0.01    95    93    48     3.3     6.4  77.03    45   1.67  82.53
CLH     164.11  Jul  120     46.80    2.3    4.5    2.3    4.5 116.19 165.43  0.29  0.01    95    93    48     1.2     2.4  57.38    63   1.22  60.03
SMH     175.70  Feb+ 161     15.40    0.5   10.8    0.5   10.8 160.25 176.10  0.09  0.00    95    94    48     0.2     5.3  79.87    43   0.15  80.53
SYK     314.29  Jan'25 220  103.90    5.0    5.0    5.0    5.0 206.06 319.32  0.34  0.02    95    92    48     3.4     3.4 100.47    71   4.43 110.03
XOP     129.64  Mar  109     22.20    2.0   12.3    2.0   12.3 107.19 130.70  0.17  0.01    95    93    47     1.4     8.5  53.01    58   0.35  54.53
GTLB     62.73  Jul  35      29.10    5.3   10.5    5.3   10.5  33.37  63.59  0.47  0.01    95    94    49     3.8     7.5  16.21    44   0.36  17.52
COST    681.49  Apr  595     94.10    1.5    5.9    1.5    5.9 584.43 685.89  0.14  0.01    95    93    47     1.1     4.1 289.96    59   3.06 297.52
COST    681.49  May  590    103.40    2.8    8.3    2.8    8.3 574.25 689.31  0.16  0.01    95    92    46     2.1     6.3 283.17    64   3.94 295.02
GTLB     62.73  Apr  41      22.70    3.1   12.1    3.1   12.1  39.92  63.34  0.36  0.01    95    94    49     2.1     8.1  19.60    45   0.21  20.52
DXCM    124.46  Mar  95      30.70    1.7   10.5    1.7   10.5  93.55 125.24  0.25  0.01    95    94    49     0.9     5.8  46.33    35   0.31  47.53
COST    681.49  Apr  600     92.05    2.5    9.8    2.5    9.8 586.45 688.81  0.14  0.01    95    92    45     2.0     7.6 289.51    60   3.09 300.02
SMH     175.70  Feb+ 158     18.55    0.6    9.6    0.6    9.6 157.04 176.19  0.11  0.00    95    94    48     0.3     5.3  78.22    50   0.21  79.03
WING    271.70  Jun  185     91.00    2.9    6.7    2.9    6.7 179.21 274.26  0.34  0.01    95    93    49     1.7     4.0  88.28    59   1.59  92.53
TMO     542.00  Sep  400    157.60    5.4    8.0    5.4    8.0 379.06 552.01  0.30  0.02    95    92    47     4.2     6.1 184.48    64   5.44 200.02
LPLA    233.06  Nov  150     88.50    4.0    4.8    4.0    4.8 142.16 235.85  0.39  0.01    95    93    48     2.4     2.9  69.63    51   2.50  75.03
SMH     175.70  Feb  156     20.75    0.8    9.7    0.8    9.7 154.78 176.33  0.12  0.00    95    94    48     0.5     5.8  77.02    48   0.27  78.03
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
SOXX    565.29  Feb  500     68.30    0.8    9.6    0.8    9.6 496.24 567.30  0.12  0.00    95    94    48     0.4     5.3 247.06    51   0.85 250.02
WING    271.70  Jan'25 155  125.60    8.2    8.2    8.2    8.2 143.08 277.33  0.47  0.02    95    92    48     6.0     5.9  68.68    63   3.12  77.53
TMO     542.00  Jun  420    131.60    2.9    6.8    2.9    6.8 406.89 547.84  0.25  0.01    95    93    47     2.1     4.9 200.48    62   3.61 210.02
CZR      44.75  May  30      15.60    3.5   10.5    3.5   10.5  29.05  45.25  0.35  0.01    95    93    48     2.3     6.8  14.23    41   0.20  15.02
WING    271.70  Jul  180     96.50    3.3    6.5    3.3    6.5 173.47 274.52  0.36  0.01    95    93    49     2.0     3.8  85.28    59   1.83  90.03
SYK     314.29  Jan'26 195  133.00    6.9    3.4    6.9    3.4 173.58 320.04  0.45  0.02    95    91    48     4.1     2.1  83.87    67   7.81  97.53
GTLS    127.34  Dec  60      70.10    5.5    5.9    5.5    5.9  56.22 128.83  0.56  0.01    95    94    49     3.5     3.8  27.31    56   1.12  30.02
IEFA     68.80  Mar  61       8.40    0.8    5.2    0.8    5.2  60.30  69.05  0.12  0.00    95    93    48     0.4     2.6  29.98    70   0.20  30.52
CI      306.94  Feb+ 280     28.10    0.5   11.6    0.5   11.6 278.68 307.69  0.09  0.00    95    94    48     0.3     6.1 138.92    68   0.26 140.02
COST    681.49  Jun  580    117.50    4.0    9.2    4.0    9.2 559.10 692.36  0.18  0.02    95    91    45     3.2     7.4 274.07    67   4.99 290.02
PEN     263.06  Jun  170     97.30    3.2    7.6    3.2    7.6 164.40 265.69  0.38  0.01    95    93    49     1.9     4.4  80.83    41   1.46  85.03
MSI     315.65  Jul  250     70.80    2.1    4.1    2.1    4.1 242.42 318.12  0.23  0.01    95    93    48     1.2     2.4 119.92    66   2.53 125.03
ASML    706.50  Jan+ 650     58.90    0.6   21.4    0.6   21.4 647.34 708.39  0.08  0.00    95    94    48     0.3    12.5 322.68    59   0.36 325.02
IEFA     68.80  Jun  57      13.00    2.0    4.7    2.0    4.7  55.41  69.36  0.19  0.01    95    92    48     1.3     2.9  27.38    74   0.49  28.52
CHWY     18.77  Jun  10       9.15    3.1    7.1    3.1    7.1   9.63  18.91  0.49  0.01    95    94    49     1.5     3.5   4.70    70   0.09   5.03
AAPL    183.63  Jun  150     38.15    4.4   10.1    4.4   10.1 144.29 186.71  0.21  0.02    95    91    46     3.3     7.7  70.56    78   1.29  75.03
CHTR    368.34  Jun  270    104.00    2.5    5.7    2.5    5.7 262.12 371.53  0.29  0.01    95    93    48     1.4     3.3 129.42    55   2.32 135.02
BRKB    361.10  Oct  310     66.20    7.3    9.7    7.3    9.7 290.31 371.36  0.20  0.03    95    88    41     6.0     7.9 139.98    79   4.69 155.02
DASH    104.02  May  70      36.05    4.3   12.8    4.3   12.8  67.60 105.43  0.35  0.01    95    93    48     3.0     9.1  33.04    60   0.47  35.03
XLV     139.68  Jan'25 118   26.80    4.8    4.8    4.8    4.8 110.61 142.28  0.21  0.02    95    88    45     3.4     3.4  53.95    92   2.37  59.03
JBL     125.41  Jan'25 85    44.00    4.4    4.4    4.4    4.4  79.80 127.14  0.36  0.01    95    92    48     2.7     2.7  38.99    56   1.71  42.53
TDG    1027.32  Feb  900    132.00    0.7    7.9    0.7    7.9 893.891030.32  0.13  0.00    95    94    49     0.3     4.1 445.39    69   1.53 450.02
TDG    1027.32  Feb  905    127.10    0.7    8.1    0.7    8.1 898.781030.41  0.13  0.00    95    94    49     0.3     3.7 447.79    67   1.54 452.52
AMR     358.71  Aug  200    167.00    6.3   10.8    6.3   10.8 189.48 364.52  0.47  0.02    95    93    48     4.3     7.4  91.78    37   2.33 100.03
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
MA      428.35  Jun  355     82.10    3.3    7.6    3.3    7.6 343.30 433.90  0.20  0.01    95    92    46     2.4     5.6 168.83    81   3.05 177.52
BRKB    361.10  Jun  320     50.70    4.5   10.3    4.5   10.3 307.75 367.80  0.15  0.02    95    89    43     3.6     8.3 150.48    68   2.75 160.02
AKAM    118.47  Aug  85      35.90    3.2    5.5    3.2    5.5  81.68 119.76  0.31  0.01    95    93    48     2.0     3.4  40.14    79   0.99  42.53
JXN      48.65  Mar  40       9.20    1.4    8.6    1.4    8.6  39.42  48.92  0.19  0.01    95    94    48     0.8     5.1  19.53    43   0.13  20.02
LLY     634.57  Feb+ 545     92.50    0.6    5.9    0.6    5.9 541.04 636.22  0.15  0.00    95    94    49     0.2     2.0 269.65    48   1.13 272.52
DAL      37.47  Sep  25      13.40    3.8    5.6    3.8    5.6  23.83  37.91  0.36  0.01    95    92    48     2.2     3.3  11.65    47   0.34  12.52
ROKU     84.79  Jun  45      41.20    4.1    9.6    4.1    9.6  43.30  85.66  0.49  0.01    95    94    49     2.6     6.0  21.17    47   0.39  22.52
FXH     103.36  Jun  85      19.90    1.6    3.7    1.6    3.7  82.83 104.02  0.20  0.01    95    93    48     0.9     2.2  41.04    55   0.73  42.53
EME     220.28  Aug  155     69.00    2.4    4.1    2.4    4.1 149.57 222.04  0.32  0.01    95    94    49     1.4     2.3  73.85    52   1.81  77.53
AMR     358.71  Aug  195    171.20    5.6    9.6    5.6    9.6 185.33 363.77  0.48  0.01    95    94    49     3.9     6.7  90.08    38   2.28  97.53
SEDG     72.83  Mar  45      28.70    2.6   16.4    2.6   16.4  44.08  73.40  0.39  0.01    95    94    49     1.4     8.7  21.71    40   0.15  22.52
HCA     280.82  Jan'26 150  142.00    7.9    3.9    7.9    3.9 132.91 285.84  0.53  0.02    95    92    48     5.2     2.6  63.90    66   6.01  75.03
OIH     284.12  Jul  200     90.50    4.5    8.8    4.5    8.8 191.69 288.32  0.33  0.01    95    93    48     3.1     6.2  93.69    71   2.03 100.03
EFA      73.81  Jun  65      10.60    3.5    8.2    3.5    8.2  62.75  74.89  0.15  0.01    95    90    44     2.7     6.2  30.78    85   0.56  32.53
ON       73.80  Apr  50      24.75    2.2    8.7    2.2    8.7  48.89  74.34  0.34  0.01    95    94    49     1.3     5.1  24.13    63   0.26  25.02
LAD     287.57  Nov  160    134.50    5.6    6.8    5.6    6.8 150.50 291.68  0.48  0.01    95    93    49     3.7     4.5  73.15    47   2.67  80.03
OIH     284.12  Jun  205     84.60    3.7    8.5    3.7    8.5 197.86 287.69  0.30  0.01    95    93    48     2.5     5.8  97.09    69   1.76 102.53
HCA     280.82  Dec'25 155  136.80    7.3    3.8    7.3    3.8 138.15 285.68  0.51  0.02    95    91    48     4.4     2.3  66.60    62   5.97  77.53
HCA     280.82  Jan'26 155  138.00    8.9    4.4    8.9    4.4 136.71 286.64  0.51  0.02    95    91    48     5.8     2.9  65.40    65   6.21  77.53
OIH     284.12  Apr  220     68.30    2.7   10.6    2.7   10.6 214.79 287.02  0.24  0.01    95    93    48     1.9     7.2 105.89    69   1.13 110.03
SAM     358.83  Dec  230    140.00    6.5    7.0    6.5    7.0 214.66 365.58  0.40  0.02    95    92    48     4.6     5.0 103.90    79   4.27 115.03
AMR     358.71  Jun  210    154.50    3.9    9.0    3.9    9.0 202.50 362.54  0.44  0.01    95    94    49     2.5     5.8  99.28    36   1.81 105.03
MA      428.35  May  360     75.50    2.7    7.9    2.7    7.9 350.54 432.94  0.18  0.01    95    93    46     2.0     6.0 172.93    80   2.41 180.02
SPXL    103.06  Feb  88      15.90    1.3   14.7    1.3   14.7  87.11 103.60  0.15  0.01    95    94    48     0.8     9.4  43.23    54   0.15  44.03
Symb     Stk    Opt  StrkMn   Call   RIUM  ARIUM   RIEM  ARIEM   DBEM   UBEM  %DBE  %UBE PrDBE PrRIE PrUBE    ERTN  AERTNM   Invt   IVF  Mgnint  Debit
ON       73.80  Mar  55      19.60    1.8   10.9    1.8   10.9  54.12  74.27  0.27  0.01    95    94    49     0.9     5.5  26.78    52   0.18  27.52
ASML    706.50  Feb  610     99.60    0.6    7.5    0.6    7.5 605.96 708.41  0.14  0.00    95    94    49     0.2     2.5 301.98    40   1.04 305.02
RCL     122.80  Apr  87.5    36.75    2.0    7.8    2.0    7.8  85.70 123.65  0.30  0.01    95    94    49     1.1     4.2  42.38    53   0.45  43.78
FIX     202.22  Nov  125     82.00    4.4    5.3    4.4    5.3 118.24 204.77  0.42  0.01    95    93    48     2.8     3.4  57.79    55   2.08  62.53
EME     220.28  Nov  150     76.00    4.4    5.3    4.4    5.3 141.88 223.35  0.36  0.01    95    92    48     2.7     3.3  69.35    52   2.50  75.03
JPM     167.99  Feb  155     13.90    0.6    7.6    0.6    7.6 153.93 168.49  0.08  0.00    95    93    48     0.4     4.4  76.67    30   0.26  77.53
LAD     287.57  Jun  185    106.60    2.6    6.0    2.6    6.0 179.48 289.86  0.38  0.01    95    94    49     1.4     3.3  88.55    45   1.59  92.53
SAIA    437.99  Dec  220    226.10    3.8    4.1    3.8    4.1 207.90 441.86  0.53  0.01    95    94    49     1.9     2.0 101.96    50   4.09 110.03
ADBE    597.68  Apr  485    121.55    2.7   10.3    2.7   10.3 473.73 603.90  0.21  0.01    95    93    47     1.9     7.2 233.71    51   2.50 242.52
QCOM    141.12  Feb+ 125     17.10    1.1   16.4    1.1   16.4 123.96 141.79  0.12  0.00    95    94    48     0.7    11.3  61.59    65   0.16  62.53
IGV     408.56  Jan'25 325  104.10    9.8    9.7    9.8    9.7 298.02 422.41  0.27  0.03    95    89    43     7.9     7.9 142.04    69   6.54 162.52
IGV     408.56  Jan'25 330  100.00   10.2   10.1   10.2   10.1 302.02 423.21  0.26  0.04    95    87    43     8.0     8.0 143.64    67   6.64 165.02
CTAS    588.57  Dec  480    131.10    6.2    6.7    6.2    6.7 448.65 602.03  0.24  0.02    95    89    45     4.7     5.1 217.55    69   8.92 240.02
UDOW     71.98  Jun  52      21.70    4.6   10.7    4.6   10.7  49.93  73.10  0.31  0.02    95    93    47     3.4     8.0  24.36    54   0.45  26.02
LYV      90.60  Jan'25 50    42.80    4.6    4.5    4.6    4.5  46.89  91.64  0.48  0.01    95    93    49     2.5     2.5  22.88    70   1.01  25.02
GOOGL   142.49  Feb+ 130     13.45    1.1   23.1    1.1   23.1 129.02 143.18  0.09  0.00    95    93    47     0.8    16.4  64.12    70   0.12  65.03
ICLR    250.92  Jul  175     80.00    2.6    5.1    2.6    5.1 169.25 253.08  0.33  0.01    95    93    49     1.4     2.8  83.49    57   1.77  87.53
CHTR    368.34  Aug  260    116.70    4.3    7.3    4.3    7.3 248.70 373.51  0.32  0.01    95    92    48     2.8     4.8 121.72    57   3.04 130.02
EWJ      65.94  Nov  54      14.30    5.3    6.4    5.3    6.4  50.84  67.25  0.23  0.02    95    89    45     3.8     4.6  24.72   110   0.90  27.02
